,poi,pname_en,pname_th,lat,lon,pcat_1,pcat_2,pcat_3
92,cbi-094,Nong Mon Market,ตลาดหนองมน,13.286086,100.924986,นันทนาการ,ตลาด,-
93,cbi-095,Thai House Museum,พิพิธภัณฑ์เรือนไทย,13.438076,101.052665,นันทนาการ,พิพิธภัณฑ์,-
94,cbi-096,Mini Town,เมืองจำลอง,12.940492,100.90865,นันทนาการ,-,-
95,cbi-097,Wat Thamnimit,วัดธรรมนิมิตต์,13.351601,100.975891,วัฒนธรรม,วัด,ศาสนสถาน
96,cbi-098,Wat Sanga See,วัดสังกะสี,13.402781,101.039305,วัฒนธรรม,วัด,ศาสนสถาน
97,cbi-099,Vihara Xian (Anekkuson Sala),วิหารเซียน (เอนกกุศลศาลา),12.7879,100.954897,วัฒนธรรม,ศาสนสถาน,-
98,cbi-100,Chao Por Khao Yai Shrine,ศาลเจ้าพ่อเขาใหญ่,13.18551,100.77943,วัฒนธรรม,ศาสนสถาน,-
99,cbi-101,Phanus Nikhom Exhibition Center,ศูนย์จักสานพนัสนิคม,13.444303,101.182771,นันทนาการ,ตลาด,-
100,cbi-102,4D Replica Ceremonial Ship Show Center,ศูนย์แสดงเรือพระราชพิธีจำลอง 4 มิติ,12.908747,100.946773,นันทนาการ,-,-
101,cbi-103,Chollamarkwithi Bridge 84 Years,สะพานชลมารควิถี 84 พรรษา จ.ชลบุรี,13.36407,100.975336,นันทนาการ,-,-
102,cbi-104,Karen Village,หมู่บ้านกะเหรี่ยง คอยาว จำลอง,12.913097,100.87239,วัฒนธรรม,-,-
103,cbi-105,Chong Samae San Village,หมู่บ้านช่องแสมสาร,12.604248,100.96122,วัฒนธรรม,ธรรมชาติ,ทะเล
104,cbi-106,Eastern Art and Culture Hall Burapha University,หอศิลปะและวัฒนธรรมภาคตะวันออก มหาวิทยาลัยบูรพา,13.285478,100.925607,นันทนาการ,-,-
105,cbi-107,Three Kingdoms Park,อุทยานสามก๊ก,12.9046,100.9771,นันทนาการ,วัฒนธรรม,ศาสนสถาน
106,cbi-108,Red Building Chaloem Phra Kiat Museum,ตึกแดงพิพิธภัณฑ์เฉลิมพระเกียรติ,13.340407,100.926119,นันทนาการ,-,-
107,cbi-109,Thai Island and Sea Natural History Museum (Khao Ma Jo),พิพิธภัณฑ์ธรรมชาติวิทยาเกาะและทะเลไทย (เขาหมาจอ),12.60348,100.95109,นันทนาการ,พิพิธภัณฑ์,-
108,cbi-110,Marine Corps Museum,พิพิธภัณฑ์นาวิกโยธิน,13.16234,100.918988,นันทนาการ,พิพิธภัณฑ์,-
109,cbi-111,Royal Battleship Jakgreenrubet,เรือหลวงจักรีนฤเบศร,12.621504,100.917781,นันทนาการ,-,-
110,cbi-112,Astroscience Center,ศูนย์วิทยาศาสตร์ ดาราศาสตร์,13.35,100.98333,นันทนาการ,-,-
