name,location,lat,lng
ร้านรอกียะห์ ส้มตำ อาหารไทย อีสาน ฮาลาล Halal,"{""lat"":13.1548834,""lng"":100.8126987}",13.1548834,100.8126987
ร้านอาหารทิวไผ่,"{""lat"":13.158049,""lng"":100.8097926}",13.158049,100.8097926
Loong-Dum's Restaurant (Uncle Dum's) opposite of the power plant,"{""lat"":13.1586114,""lng"":100.808146}",13.1586114,100.808146
ก๊วยเตี๊ยวเนื้อตุ๋น หน้าวิกเก่า อิสลาม เกาะสีชัง,"{""lat"":13.1648959,""lng"":100.8073212}",13.1648959,100.8073212
ร้านข้าวต้มแม่ลำใย,"{""lat"":13.1598161,""lng"":100.8097214}",13.1598161,100.8097214
ร้านอาหารเล็กท่าวัง (Lek Tha Wang),"{""lat"":13.1525887,""lng"":100.813951}",13.1525887,100.813951
ร้านตายาย (เจ้าเก่า),"{""lat"":13.1591595,""lng"":100.8095738}",13.1591595,100.8095738
ร้านเจ้ราตรี เกาะสีชัง,"{""lat"":13.1620172,""lng"":100.8084574}",13.1620172,100.8084574
Restaurant,"{""lat"":13.1587756,""lng"":100.8095384}",13.1587756,100.8095384
ร้านอาหารจันทร์ดี,"{""lat"":13.1616542,""lng"":100.806602}",13.1616542,100.806602
Bangsaray Beach Club,"{""lat"":12.7608804,""lng"":100.88311}",12.7608804,100.88311
THE KITCHEN Restaurant & Deli Shop,"{""lat"":12.721933,""lng"":100.8870811}",12.721933,100.8870811
Mickey's Aussie Bar & Restaurant,"{""lat"":12.7368755,""lng"":100.9010781}",12.7368755,100.9010781
23 Cafe’&Bistro’Sattahip,"{""lat"":12.7088519,""lng"":100.9294314}",12.7088519,100.9294314
Café de Sea,"{""lat"":12.6620258,""lng"":100.8977884}",12.6620258,100.8977884
Steakhouse grandmother's house in Sattahip,"{""lat"":12.669089,""lng"":100.914488}",12.669089,100.914488
ร้านอาหารแมกไม้ สายลม ไฮท์ส,"{""lat"":12.6775038,""lng"":100.9167208}",12.6775038,100.9167208
Sweet Rock Cafe Sattahip,"{""lat"":12.7351418,""lng"":100.9046894}",12.7351418,100.9046894
55 Story Cafe & Bistro,"{""lat"":12.6834637,""lng"":100.8941373}",12.6834637,100.8941373
Ruantalay Seafood Restaurant,"{""lat"":12.762919,""lng"":100.887143}",12.762919,100.887143
Kept Marine Restaurant,"{""lat"":12.7620809,""lng"":100.8854598}",12.7620809,100.8854598
Friday restaurant Sattahip,"{""lat"":12.6729561,""lng"":100.9006227}",12.6729561,100.9006227
SUSHI SUSHI สาขา สัตหีบ,"{""lat"":12.6688053,""lng"":100.9022888}",12.6688053,100.9022888
The Pirate Coffee & Healthy,"{""lat"":12.6682546,""lng"":100.9171684}",12.6682546,100.9171684
Friday Everyday,"{""lat"":12.6728294,""lng"":100.9005499}",12.6728294,100.9005499
De Beach House,"{""lat"":12.6613674,""lng"":100.9113159}",12.6613674,100.9113159
Puen Talay Restaurant,"{""lat"":12.6620343,""lng"":100.9030097}",12.6620343,100.9030097
The Garden Café,"{""lat"":12.681427,""lng"":100.8941356}",12.681427,100.8941356
Rim Chonrawee Restaurant,"{""lat"":12.6345467,""lng"":100.9273924}",12.6345467,100.9273924
Uno Restaurant,"{""lat"":12.6938628,""lng"":100.8909552}",12.6938628,100.8909552
MindbookCafe',"{""lat"":13.281116,""lng"":101.437083}",13.281116,101.437083
ร้านธัญรส บ่อทอง,"{""lat"":13.2822898,""lng"":101.4317434}",13.2822898,101.4317434
จรรยากริลล์,"{""lat"":13.2943564,""lng"":101.4401307}",13.2943564,101.4401307
ร้านก๋วยเตี๋ยวเจ๊ติ๋ม หนองน้ำ,"{""lat"":13.2526399,""lng"":101.5514037}",13.2526399,101.5514037
ร้านอาหารเทพรส 1,"{""lat"":13.2822275,""lng"":101.4372715}",13.2822275,101.4372715
ร้านชาบูอินดี้ บ่อทอง ชลบุรี,"{""lat"":13.2935827,""lng"":101.4403214}",13.2935827,101.4403214
เทพรส 2,"{""lat"":13.2824654,""lng"":101.4358817}",13.2824654,101.4358817
ร้านตำบ้านๆ/ก๊วยเตี๋ยวเรืออโยธยา ณ บ่อทอง,"{""lat"":13.2695022,""lng"":101.437304}",13.2695022,101.437304
SamBaiTao Cafe,"{""lat"":13.2710313,""lng"":101.4371705}",13.2710313,101.4371705
Banmae Restaurant,"{""lat"":13.3764965,""lng"":101.2764714}",13.3764965,101.2764714
ร้านเจ้หน่าส้มตำไก่ย่าง,"{""lat"":13.2990377,""lng"":101.4383791}",13.2990377,101.4383791
ร้านบะหมี่เหน่งช่าช่าช่า,"{""lat"":13.2026725,""lng"":101.5777317}",13.2026725,101.5777317
วรรณีเกาเหลาเนื้อ ลูกชิ้นชั้นเยี่ยม,"{""lat"":13.3131285,""lng"":101.4338296}",13.3131285,101.4338296
เจ๊บุ๋มอาหารตามสั่ง,"{""lat"":13.3188133,""lng"":101.3051847}",13.3188133,101.3051847
กำนันใย ไก่หุบบอน,"{""lat"":13.2930246,""lng"":101.4404605}",13.2930246,101.4404605
ร้านลาบอุบล,"{""lat"":13.3144813,""lng"":101.26794}",13.3144813,101.26794
ร้านอาหารครัวบ่อทอง,"{""lat"":13.3017266,""lng"":101.4200068}",13.3017266,101.4200068
Phairin Restaurant,"{""lat"":13.3194705,""lng"":101.3043612}",13.3194705,101.3043612
BHub ร้านข้าวหมูแดงวรรณ,"{""lat"":13.2822766,""lng"":101.4350413}",13.2822766,101.4350413
Kochan Express,"{""lat"":-7.605468199999999,""lng"":110.8113689}",-7.605468199999999,110.8113689
Saaitara Restaurant,"{""lat"":12.0546204,""lng"":102.2930932}",12.0546204,102.2930932
Kochan Express Solobaru,"{""lat"":-7.605524600000001,""lng"":110.8112695}",-7.605524600000001,110.8112695
Warung D'Kochan,"{""lat"":-6.6363495,""lng"":106.8161473}",-6.6363495,106.8161473
Bakso Urat Kochan,"{""lat"":-7.586644,""lng"":110.834114}",-7.586644,110.834114
Beef curry Kochan,"{""lat"":32.7912185,""lng"":130.7124843}",32.7912185,130.7124843
Kochan,"{""lat"":31.3832248,""lng"":130.8455332}",31.3832248,130.8455332
Schanklokal Busching,"{""lat"":51.9470372,""lng"":14.7149273}",51.9470372,14.7149273
Ko-chan,"{""lat"":35.6605399,""lng"":139.7028167}",35.6605399,139.7028167
Kochan Sushi,"{""lat"":35.7292311,""lng"":139.7155511}",35.7292311,139.7155511
Kochan Sushi,"{""lat"":35.951264,""lng"":140.044225}",35.951264,140.044225
Kochan,"{""lat"":34.6876275,""lng"":135.6391495}",34.6876275,135.6391495
Cherry Hops & Bistro Siracha,"{""lat"":13.1658823,""lng"":100.9289367}",13.1658823,100.9289367
NaNaSe Ramen (SIRACHA),"{""lat"":13.1681314,""lng"":100.9352471}",13.1681314,100.9352471
Website Siracha,"{""lat"":13.1686427,""lng"":100.9296872}",13.1686427,100.9296872
Robison siracha,"{""lat"":12.9276082,""lng"":100.8770813}",12.9276082,100.8770813
"Cafeteria, Sakdak Building, Assumption Siracha","{""lat"":13.1626128,""lng"":100.9430436}",13.1626128,100.9430436
Marina Plaza Sriracha,"{""lat"":13.1634308,""lng"":100.9203726}",13.1634308,100.9203726
ร้าน มีดี ศรีราชา MeeDee Siracha,"{""lat"":13.1620351,""lng"":100.9197651}",13.1620351,100.9197651
Oshin Sriracha,"{""lat"":13.1686744,""lng"":100.9269521}",13.1686744,100.9269521
Pizza Hut 1150 -Sriracha,"{""lat"":13.166269,""lng"":100.9330145}",13.166269,100.9330145
MiniShabu Siracha,"{""lat"":13.1559807,""lng"":100.9598195}",13.1559807,100.9598195
ร้านกินกัน (KIN KAN),"{""lat"":13.1171754,""lng"":101.0321292}",13.1171754,101.0321292
Mum Aroy,"{""lat"":13.1798944,""lng"":100.9286578}",13.1798944,100.9286578
RuenMaluli Restaurant,"{""lat"":13.1183225,""lng"":100.9990892}",13.1183225,100.9990892
Sushi Toro Home take away Siracha,"{""lat"":13.163703,""lng"":100.9320214}",13.163703,100.9320214
Levanzo,"{""lat"":13.1634585,""lng"":100.9204182}",13.1634585,100.9204182
Pindoya Korean BBQ,"{""lat"":13.1680927,""lng"":100.9274436}",13.1680927,100.9274436
Café Terrace Si Racha,"{""lat"":13.118984,""lng"":100.9995796}",13.118984,100.9995796
TakoWanaka Takoyaki ทาโกะวานากะ ทาโกะยากิ (ทาโกะหมึกแดง),"{""lat"":13.1530757,""lng"":100.9834907}",13.1530757,100.9834907
Sushi Sriracha,"{""lat"":13.165974,""lng"":100.9296229}",13.165974,100.9296229
KING BBQ ราชาปิ้งย่าง,"{""lat"":13.1668801,""lng"":100.9267644}",13.1668801,100.9267644
ป้าศรีส้มตำ ถนนเลี่ยงหนองมน บางแสน ชลบุรี,"{""lat"":13.2776209,""lng"":100.9590017}",13.2776209,100.9590017
Raffine cafe & The she's house wedding & restaurant Bang Sean,"{""lat"":13.2686336,""lng"":100.9424182}",13.2686336,100.9424182
Little Chef Bang Saen,"{""lat"":13.2839943,""lng"":100.9460565}",13.2839943,100.9460565
แจ่วฮ้อน บางแสน,"{""lat"":13.2774259,""lng"":100.9611985}",13.2774259,100.9611985
Koji Yakiniku Japanese Buffet บางแสน,"{""lat"":13.2783817,""lng"":100.9414342}",13.2783817,100.9414342
ร้านตำหนักลาว บางแสน,"{""lat"":13.2588735,""lng"":100.9402949}",13.2588735,100.9402949
ไก่ต้มน้ำปลา เจ้าเก่าซอยสดใส,"{""lat"":13.2785779,""lng"":100.9329567}",13.2785779,100.9329567
MoMo Bangsaen,"{""lat"":13.275855,""lng"":100.9318281}",13.275855,100.9318281
YAYOI Laemtong Bangsaen ยาโยอิ แหลมทองบางแสน,"{""lat"":13.28723,""lng"":100.926461}",13.28723,100.926461
Suan Khao Phu,"{""lat"":13.2398548,""lng"":100.9590601}",13.2398548,100.9590601
The Pizza Company,"{""lat"":13.279142,""lng"":100.936626}",13.279142,100.936626
Dayya6,"{""lat"":13.2770293,""lng"":100.9500792}",13.2770293,100.9500792
ร้านบังเละ อาหารตามสั่ง,"{""lat"":13.2775368,""lng"":100.9729285}",13.2775368,100.9729285
Khrua Che Mian,"{""lat"":13.2566923,""lng"":100.934122}",13.2566923,100.934122
โคตรกระเพรา บางแสน,"{""lat"":13.2811901,""lng"":100.9298106}",13.2811901,100.9298106
MK Laemtong Bangsaen,"{""lat"":13.2872091,""lng"":100.9264074}",13.2872091,100.9264074
VT,"{""lat"":13.2709628,""lng"":100.9351668}",13.2709628,100.9351668
อาเหมาไก่ย่าง บางแสน,"{""lat"":13.2568927,""lng"":100.9390015}",13.2568927,100.9390015
ครัวเงาะป่า,"{""lat"":13.2865633,""lng"":100.9827349}",13.2865633,100.9827349
ร้านเก้าอี้เหลือง Kaweeileung Restaurant,"{""lat"":13.2773959,""lng"":100.9607531}",13.2773959,100.9607531
เจ๊กันยา ก๋วยเตี๋ยวบ้านบึง,"{""lat"":13.2325565,""lng"":101.2247249}",13.2325565,101.2247249
Nong Rung Restaurant,"{""lat"":13.2265031,""lng"":101.2320647}",13.2265031,101.2320647
ร้านก๋วยเตี๋ยวหมูเจ้าเก่าโอเค ชุนฮ้อ,"{""lat"":13.3115863,""lng"":101.1143935}",13.3115863,101.1143935
ร้านอาหารป่า หนองบอนแดง,"{""lat"":13.3382833,""lng"":101.1450026}",13.3382833,101.1450026
ร้านอาหารหลบมุม,"{""lat"":13.3106233,""lng"":101.1123178}",13.3106233,101.1123178
เจ้เหน่งข้าวต้มกุ๊ย บ้านบึง,"{""lat"":13.309092,""lng"":101.1194375}",13.309092,101.1194375
I am Hungry - Ban Bueng,"{""lat"":13.3084725,""lng"":101.1164231}",13.3084725,101.1164231
MK Restaurant,"{""lat"":13.3047013,""lng"":101.1193436}",13.3047013,101.1193436
ร้านลาบยโส,"{""lat"":13.2481561,""lng"":101.2088135}",13.2481561,101.2088135
Ban Bueng Dental Lab,"{""lat"":13.3116341,""lng"":101.1146281}",13.3116341,101.1146281
นิยมสุข ซีฟู้ด บุฟเฟ่ต์ สาขาบ้านบึง,"{""lat"":13.3058494,""lng"":101.130242}",13.3058494,101.130242
ร้านอาหารนนท์,"{""lat"":13.252164,""lng"":101.154925}",13.252164,101.154925
"OK Sung Hor Noodle, Ban Bung","{""lat"":13.3115334,""lng"":101.1144355}",13.3115334,101.1144355
Aje aje Korean Restaurant,"{""lat"":13.3211131,""lng"":101.1021214}",13.3211131,101.1021214
ร้านอาหารช่อชบา อ.บ้านบึง,"{""lat"":13.3210998,""lng"":101.1017229}",13.3210998,101.1017229
Che Oi Mu Yang Korea,"{""lat"":13.2850988,""lng"":101.2592415}",13.2850988,101.2592415
ร้านอาหาร ศิริวัฒน์,"{""lat"":13.2229312,""lng"":101.2346387}",13.2229312,101.2346387
Tae Mong Huad Ban Bueng,"{""lat"":13.3074851,""lng"":101.1128857}",13.3074851,101.1128857
Krua Rim Thang,"{""lat"":13.3201011,""lng"":101.0992632}",13.3201011,101.0992632
Reggae Bar,"{""lat"":13.2878781,""lng"":101.1764262}",13.2878781,101.1764262
ร้านอาหารตามสั่ฃ,"{""lat"":13.135181,""lng"":101.3456224}",13.135181,101.3456224
Chester's,"{""lat"":13.020929,""lng"":101.446279}",13.020929,101.446279
ร้านก๋วยเตี๋ยวเจ๊เอี้ยง,"{""lat"":13.1342609,""lng"":101.3381039}",13.1342609,101.3381039
ร้านจิ้มจุ่ม หนองใหญ่,"{""lat"":13.1593712,""lng"":101.3773225}",13.1593712,101.3773225
ครัววังใหญ่,"{""lat"":13.1255754,""lng"":101.3601617}",13.1255754,101.3601617
ร้านเจ๊นิตย์ เกี๊ยวปลา,"{""lat"":13.062641,""lng"":101.4205771}",13.062641,101.4205771
Tori shop,"{""lat"":13.157221,""lng"":101.3088168}",13.157221,101.3088168
ธนพลข้าวมันไก่,"{""lat"":13.0697771,""lng"":101.4134018}",13.0697771,101.4134018
Nam Chok Restaurant,"{""lat"":13.015377,""lng"":101.465875}",13.015377,101.465875
ส้มตำป้าแต้ม,"{""lat"":13.0196452,""lng"":101.4528803}",13.0196452,101.4528803
ร้านไก่ย่างวิเชียร ไสวไทหล่ม,"{""lat"":13.1482222,""lng"":101.3317001}",13.1482222,101.3317001
กอ.ฝึก,"{""lat"":13.1878796,""lng"":101.3292023}",13.1878796,101.3292023
ร้านฮวดโภชนา,"{""lat"":13.0173139,""lng"":101.4618258}",13.0173139,101.4618258
เนินนมหนองใหญ่​,"{""lat"":13.1387555,""lng"":101.3879152}",13.1387555,101.3879152
บะหมี่หนองเสือช้าง,"{""lat"":13.1344779,""lng"":101.3472729}",13.1344779,101.3472729
ส้มตำคุณดาว,"{""lat"":13.141425,""lng"":101.3732404}",13.141425,101.3732404
ขวัญใจหม่าล่า,"{""lat"":13.1344793,""lng"":101.3470321}",13.1344793,101.3470321
ร้านอาหารเจ้กุ้ง,"{""lat"":13.2546778,""lng"":101.3292927}",13.2546778,101.3292927
